Exercise_ID,Exercise_Name,Body_Part,Condition,Equipment,Reps_Sets,Duration,Intensity_Level,Goal
1,Hamstring Curl,Leg,Stroke Recovery,Ball,5x20,15 min,Medium,Improve balance
2,Finger Stretch,Neck,Mobility Issue,Wall,4x18,15 min,Low,Improve circulation
3,Arm Circles,Leg,Chronic Pain,Dumbbell,5x13,21 min,Medium,Increase flexibility
4,Hip Abduction,Knee,Stroke Recovery,Resistance Band,5x14,24 min,High,Improve mobility
5,Trunk Rotation,Core,Mobility Issue,Chair,5x13,17 min,Low,Improve circulation
6,Bridging,Wrist,Lower Back Pain,None,3x20,7 min,Medium,Improve mobility
7,Seated Marching,Neck,Chronic Pain,None,3x19,23 min,High,Rehabilitation
8,Pelvic Tilt,Back,Post Surgery,None,2x8,22 min,High,Improve balance
9,Wrist Flexion,Ankle,Stiffness,Resistance Band,3x14,20 min,Medium,Increase flexibility
10,Hamstring Curl,Neck,Post Surgery,Resistance Band,4x12,13 min,Low,Improve balance
11,Heel Slides,Leg,Chronic Pain,Wall,3x11,14 min,Low,Improve balance
12,Toe Raises,Leg,Chronic Pain,Dumbbell,2x9,9 min,High,Improve circulation
13,Trunk Rotation,Knee,Post Fracture,Dumbbell,4x19,22 min,Low,Rehabilitation
14,Wall Push-Ups,Back,Lower Back Pain,Wall,5x18,22 min,Medium,Improve mobility
15,Bridging,Wrist,Arthritis,Wall,3x16,7 min,Medium,Improve mobility
16,Pelvic Tilt,Ankle,Lower Back Pain,Chair,5x20,23 min,Low,Improve balance
17,Finger Stretch,Leg,Stiffness,Mat,3x13,14 min,Low,Improve balance
18,Calf Raises,Wrist,Post Fracture,Resistance Band,3x11,7 min,High,Reduce pain
19,Shoulder Flexion,Knee,Post Fracture,Ball,3x10,22 min,High,Strengthen muscles
20,Pelvic Tilt,Wrist,Stiffness,Mat,2x20,20 min,High,Improve mobility
21,Sit to Stand,Hip,Stiffness,Dumbbell,2x9,8 min,Medium,Reduce pain
22,Finger Stretch,Back,Arthritis,None,4x15,5 min,Medium,Reduce pain
23,Knee Extensions,Back,Arthritis,Ball,3x17,10 min,Medium,Improve balance
24,Shoulder Flexion,Leg,Sports Injury,Mat,5x17,7 min,Medium,Improve balance
25,Sit to Stand,Ankle,Mobility Issue,None,3x11,22 min,Medium,Improve circulation
26,Knee Extensions,Core,Lower Back Pain,Ball,2x10,23 min,Low,Improve balance
27,Wall Push-Ups,Neck,Sports Injury,Mat,4x17,25 min,Low,Improve circulation
